"site","watershed","ISCO_number","record_type","year","month","day","hour","season","julian_day","running_day_of_project","Ca_ueq_L","nmCa_ueq_L","Mg_flag","Mg_ueq_L","nmMg_ueq_L","K_flag","K_ueq_L","nmK_ueq_L","Na_ueq_L","nmNa_ueq_L","Si_flag","Si_mg_L","NH4_flag","NH4_ueq_L","Al_flag","Al_ppb","Al_org_flag","Al_org_ppb","total_N_flag","total_N_ppm","Cl_ueq_L","SO4_ueq_L","nmSO4_ueq_L","NO3_flag","NO3_ueq_L","DOC_flag","DOC_mg_L","DIC_flag","DIC_mg_L","ANC_ueq_L","sp_conductance_us_cm","discharge_L_sec","H_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll","apparent_color_flag","apparent_color_PCU","true_color_flag","true_color_PCU","total_P_flag","total_P_ppb","Comment"
"EB3","EB","","REG",1986,10,1,11,"FALL",274,274,,,"",,,"",,,,,"",,"",,,"","","","",,76,115,107,"<DL",0.05,"",,"",,,,,,,,,,"","",,"",,"",,""
"WB3","WB","","REG",1986,10,1,11,"FALL",274,274,,,"",,,"",,,,,"",,"",,,"","","","",,79,110,102,"<DL",0.05,"",,"",,,,,,,,,,"","",,"",,"",,""
"EB3","EB","","DUP",1986,11,13,11,"FALL",317,317,80,77,"",27,14,"",3.8,3,80,20,"",,"",,,"","","","",,70,112,105,"",2,"",,"",,,,,,,,,,"","",,"",,"",,""
"EB3","EB","","REG",1986,11,13,11,"FALL",317,317,89,86,"",30,16,"",4.3,3,85,21,"",,"",,,"","","","",,74,117,109,"<DL",0.05,"",,"",,12.2,24.3,,1.2,,5.53,5.92,,"","",,"",,"",,""
"WB3","WB","","REG",1986,11,13,11,"FALL",317,317,101,98,"",35,21,"",6.4,5,88,25,"",,"",,,"","","","",,73,107,99,"",3,"",,"",,33.4,,,0.22,,6.03,6.65,,"","",,"",,"",,""
"EB3","EB","","REG",1986,11,17,11,"FALL",321,321,99,97,"",30,15,"",5.1,4,79,16,"",,"",,,"","","","",,73,112,104,"",2,"",,"",,25.6,23.4,,0.58,,6.06,6.24,,"","",,"",,"",,""
"WB3","WB","","REG",1986,11,17,11,"FALL",321,321,90,87,"",34,19,"",8.4,7,94,29,"",,"",,,"","","","",,76,107,99,"",4,"",,"",,37.2,,,0.23,,6.03,6.63,,"","",,"",,"",,""
"EB3","EB","","REG",1986,11,25,11,"FALL",329,329,83,81,"",28,16,"",6.1,5,70,19,"",,"",,,"","","","",,60,105,99,"",18,"",,"",,9,23.3,,2.88,,5.45,5.54,,"","",6,"",,"",,""
"WB3","WB","","REG",1986,11,25,11,"FALL",329,329,105,103,"",35,23,"",8.2,7,74,21,"",,"",,,"","","","",,61,113,107,"",22,"",,"",,15.5,24.8,,1,,5.83,6,,"","",8,"",,"",,""
"EB3","EB","","REG",1986,12,2,11,"WINTER",336,336,,,"",,,"",,,,,"",,"",,,"","","","",,60,108,102,"",11,"",,"",,13.4,,,,,5.69,,,"","",,"",,"",,""
